ea	fascode	idw	a2_x	a2	a2x	a2a	a2b	a2bb	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a5a	a9	a10	a17	a18	a19	a20	a21	a6_a	a6_b	a6a	a7	a7a	a8	a11	a12ax	a12bx	a12dx	a12ex	a12fx	a12d1	a12f1	a26	a21a_x	a21b_x	a21a	a21b	a2e	a5b	commid14	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16aa	b16ab	b16ab_a_mth	b16ab_a_yr	b16ab_b_mth	b16ab_b_yr	b16f	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	module	idivwr	resvis	langmain	langoth	fp2	result	reason	sup_obs	sup_edit	sup_verif	cp1	cp2	cp3	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk24	lk01_14_14	lk02_14_14	lk03_14_14	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb4	pb5	facwght14s	fcode14
"142"	"1422513"	"142"																																															"3235"																																		"PRA"	"S54"	3	0	96	3	3	6	3	3	3																																																				"32352513"
"142"	"1422515"	"142"																																															"3235"																																		"PRA"	"S54"	3	0	96	3	3	6	3	3	3																																																				"32352515"
"143"	"1432251"	"143"	1	30	3	3	4	2	3					95	2005	2014	0	7	1	139	1	1	1	1	2	1		3	1	3	3			10	1	1	1	1	1	270	36	4	1	1	1400000	4400000		3000000	"3238"	1	22	3	28	3	1	3						6	1	5	2	7	5	0	4	24	47	10	0	2	7	80	50	50	6	1	1	1	"PRA"	"H52"	1	0	96	1	1		3	3	3				1	1	1	3	1	1	1	1		3								"B"	1	5	"H52"		"H41"	"G01"	3	3	3	3	3	36	4	270	3															0.4166666567325592	"32382251"
"143"	"1432501"	"143"	1	32	1	1	5	2	6					95	2009	2013	2	0	4	12	1	1	1	1	1	1		3	3		1	1	5	7	1	1	8	8	8	998	98	5	1	1	4000000	9000000		5000000	"3238"	1	22	3	28	3	1	3						6	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	1	3	1	1	1	1		1	3	3	1	3	1	1	1	"A"	1	1	"H51"		"H41"	"G01"	3	3	3	3	3	36	4	270	1	11	"AGHI"	3						2	5	1		1	1	0.4166666567325592	"32382501"
"143"	"1432505"	"143"	1	29	3	1	5	2	6					7	2012	2012	2	3	1	91	1	1	1	1	2	1		3	3		3			7	1	1	1	1	1	270	36	2	1	1	8000000	8000000		8000000	"3238"	1	22	3	28	3	1	3						6	3																				"PRA"	"H52"	1	14	96	1	1		3	3	3				3	3	3		1	1	1	1		3								"W"	1	1	"H52"		"H41"	"G01"	3	3	3	3	3	36	4	270	3															0.4166666567325592	"32382505"
"143"	"1432510"	"143"	1	34	3	3	6	2	3					95	2008	2013	1	11	1	42	1	3	1	1	2	1		3	1	3	3			1	1	1	1	1	1	270	36	4	1	1	3000000	23000000		20000000	"3238"	1	22	3	28	3	3	3						6	3																				"PRA"	"H53"	1	0	96	1	1		1	1	1				3	3	1	3	1	1	1	1		1	3	3	1	3	1	1	1	"B"	1	4	"H53"		"H41"	"G01"	3	3	3	3	3	36	4	270	1	5	"AGH"	2						2	1			1	1	0.4166666567325592	"32382510"
"143"	"1433033"	"143"	1	50	3	3	6	2	3					95	2003	1985	30	0	1	14	1	3	1	1	2	1		3	3		3			1	1	1	3	3	3	270	36	4	1	1	4000000	5000000		1000000	"3238"	1	22	3	28	3	1	3						4	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	3		1	1	1	1		3								"A"	1	3	"H51"		"H41"	"G01"	1	1	1	1	1	36	4	270	1	2	"G"							2				1	1	0.4166666567325592	"32383033"
"144"	"1442071"	"144"																																															"3237"																																		"PRA"	"H53"	3	0	96	3	3	3	1	1	3																																																				"32372071"
"144"	"1442072"	"144"																																															"3237"																																		"PRA"	"S54"	3	0	96	3	3	3	3	3	3																																																				"32372072"
"144"	"1442079"	"144"	1	55	1	3	95	5	3					95	1982	2000	15	0	1	20	1	3	1	1	2	1		3	3		3			2	1	1	1	1	1	40	36	4	1	1	3000000	8000000		5000000	"3237"	1	17	5	23	5	3	3						1	3																				"PRA"	"H53"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"W"	1	4	"H53"		"H41"	"G01"	3	3	3	3	3	36	73	40	3															0.3529411852359772	"32372079"
"144"	"1442105"	"144"																																															"3237"																																		"PRA"	"H52"	3	0	96	3	3	2	1	1	1																																																				"32372105"
"144"	"1442111"	"144"	1	46	3	3	6	2	3					95	2013	2011	4	4	1	35	1	1	1	1	2	1		3	3		3			1	1	1	1	1	1	30	36	4	1	1	3600000	6000000		6000000	"3237"	1	17	5	23	5	3	3						6	3																				"PRA"	"H52"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		1	3	3	3		1	1	1	"W"	1	3	"H52"		"H41"	"G01"	3	3	3	3	3	36	73	40	3															0.3529411852359772	"32372111"
"144"	"1442112"	"144"	1	47	1	3	7	1	3					1	2007	2014	1	0	4	168	1	1	1	1	2	1		3	3		3			7	1	1	3	3	3	40	36	2	1	1	40000000	40000000		40000000	"3237"	1	17	5	23	5	1	3						6	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	3		1	1	1	1		1	3	3	1	3	1	1	1	"A"	1	2	"H51"		"H41"	"G01"	3	3	3	3	3	36	73	40	1	7	"AG"	2						5				1	1	0.3529411852359772	"32372112"
"144"	"1442115"	"144"																																															"3237"																																		"PRA"	"H53"	3	0	96	3	3	2	1	1	1																																																				"32372115"
"144"	"1442250"	"144"																																															"3237"																																		"PRA"	"H52"	3	0	96	3	3	3	3	3	3																																																				"32372250"
"144"	"1442266"	"144"																																															"3237"																																		"PRA"	"S54"	3	0	96	3	3	3	3	3	3																																																				"32372266"
"144"	"1442502"	"144"	1	25	3	3	4	2	3					95	2011	2003	3	7	1	126	1	3	1	1	2	1		3	3		3			2	1	1	1	1	1	10	36	5	1	1	1600000	2000000		2000000	"3237"	1	17	5	23	5	3	3						6	3																				"PRA"	"H52"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		1	3	3	3		1	1	1	"B"	1	3	"H52"		"H41"	"G01"	3	3	3	3	3	36	73	40	1	5	"AG"	1						4				1	1	0.3529411852359772	"32372502"
"144"	"1442503"	"144"	1	33	3	3	4	2	3					95	2006	2007	8	8	3	25	1	1	1	1	2	3	1	3	3		3			1	1	1	1	1	1	40	36	5	1	1	1800000	2300000		1800000	"3237"	1	10	5	16	5	3	1	"A"	1	2014			1	3																				"PRA"	"H53"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	1	2	"H53"		"H41"	"G01"	3	3	3	3	3	36	73	40	1	13	"AFGH"	4					1	2	6			1	1	0.3529411852359772	"32372503"
"144"	"1442507"	"144"																																															"3237"																																		"PRA"	"S54"	3	0	96	3	3	6	3	3	3																																																				"32372507"
"145"	"1452070"	"145"	1	40	3	3	95	8	3					95	2012	2007	8	0	1	42	1	3	1	1	2	1		1	1	3	3			1	1	1	3	3	3	130	36	4	1	1	3500000	11000000		7500000	"3236"	1	17	5	23	5	1	3						1	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	1	3	1	1	1	1		1	3	3	1	3	1	1	1	"A"	2	3	"H51"		"H41"	"G01"	3	3	3	3	1	36	4	130	3															0.25	"32362070"
